symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
EMLD,2022-01-01,1.12,,,2.82,1.7,,28.43,28.98,,28.98,1.16,1.7,,0.05,28.43,0.0,,,,,,,
PEGR,2022-01-01,13.27,,,14.25,0.98,,0.0,0.0,,0.0,0.98,0.98,,0.03,0.0,,,,,,,,
GFGD,2022-01-01,2.32,,,3.15,0.83,,0.0,0.0,0.09,0.09,0.92,0.83,,0.03,0.0,,,,,,,,
PFTA,2022-01-01,8.56,,,9.36,0.8,,0.0,0.0,,0.0,0.8,0.8,,0.03,0.0,0.0,,,,,,,
NPAB,2022-01-01,1.64,,,3.05,1.4,,0.66,0.0,,0.0,0.74,1.4,,0.04,0.66,,,,,,,,
DNAB,2022-01-01,2.74,,,3.05,0.31,,0.0,0.0,,0.0,0.31,0.31,,0.01,0.0,0.0,,,,,,,
DNAD,2022-01-01,2.74,,,3.07,0.33,,0.0,0.0,,0.0,0.33,0.33,,0.01,0.0,0.0,,,,,,,
SLVR,2022-01-01,9.2,,,9.62,0.43,,0.0,0.0,0.01,0.02,0.41,0.43,,0.01,0.0,0.02,,,,,,,
CPUH,2022-01-01,32.37,,,35.53,3.16,,778.88,776.54,,775.79,0.07,3.16,,0.03,778.88,0.75,,,,,,,
HWEL,2022-01-01,11.41,,,12.35,0.94,,0.33,0.0,,0.0,0.61,0.94,,0.03,0.33,,,,,,,,
STET,2022-01-01,20.48,,,22.07,1.58,,0.0,0.0,,1.3,0.28,1.58,,0.05,0.0,1.3,,,,,,,
GPAC,2022-01-01,15.07,,,16.6,1.53,,0.0,0.0,,0.79,0.74,1.53,,0.05,0.0,0.79,,,,,,,
GATE,2022-01-01,1.23,,,2.23,1.0,,294.5,293.51,,293.31,0.19,1.0,,0.03,294.5,0.2,,,,,,,
THCP,2022-01-01,3.76,,,4.67,0.91,,0.18,0.0,,0.21,0.53,0.91,,0.03,0.18,0.21,,,,,,,
BIOS,2022-01-01,2.0,,,2.69,0.69,,0.0,0.0,0.07,0.2,0.5,0.69,,0.02,0.0,0.26,,,,,,,
CORS,2022-01-01,13.19,,,13.68,0.49,,0.0,0.0,0.09,0.09,0.58,0.49,,0.02,0.0,,,,,,,,
MEKA,2022-01-01,83.52,,,84.1,0.59,,0.0,0.0,,0.0,0.59,0.59,,0.02,0.0,0.0,,,,,,,
CITE,2022-01-01,12.54,,,15.23,2.7,,236.9,225.4,15.52,240.68,1.08,2.7,,0.1,236.9,0.24,,,,,,,
