symbol,date,cash_and_equivalents,cash_and_cash_equivalents,cash_growth,receivables,inventory,other_current_assets,total_current_assets,property_plant_and_equipment,goodwill_and_intangibles,other_long_term_assets,total_long_term_assets,total_assets,accounts_payable,deferred_revenue,other_current_liabilities,total_current_liabilities,other_long_term_liabilities,total_long_term_liabilities,total_liabilities,common_stock,retained_earnings,comprehensive_income,shareholders_equity,total_liabilities_and_equity,net_cash_or_debt,net_cash_or_debt_growth,net_cash_per_share,working_capital,book_value_per_share,long_term_investments,current_debt,total_debt,debt_growth,long_term_debt,short_term_investments,goodwill,intangible_assets
LCAA,2022-01-01,0.0,0.0,99.23,,,0.07,0.08,,,0.0,290.66,290.74,3.89,,,3.89,10.63,10.63,14.52,0.0,14.44,,14.44,0.08,0.0,99.23,0.0,3.81,0.4,290.66,,,,,,,
LCW,2022-01-01,0.75,0.75,215.49,,,0.58,1.33,,,0.0,235.58,236.91,1.04,,,1.04,10.9,11.95,12.99,0.0,11.66,,11.66,1.33,0.3,,0.01,0.29,0.41,235.58,,1.05,,1.05,,,
WRAC,2022-01-01,0.48,0.48,21.06,,,0.21,0.7,,,0.0,35.9,36.6,0.55,,0.5,1.72,8.05,8.05,9.77,0.0,8.23,,8.23,1.54,0.19,,0.01,1.02,0.29,35.9,0.68,0.68,440.0,,,,
AEAE,2022-01-01,0.21,0.21,78.33,,,0.38,0.59,,,0.0,237.37,237.97,0.49,,0.01,0.67,9.45,9.45,10.12,0.0,8.54,,8.54,1.58,0.04,96.2,0.0,0.08,0.3,237.37,0.18,0.18,,,,,
PGSS,2022-01-01,0.43,0.43,58.41,,,0.06,0.49,,,0.0,230.6,231.09,0.5,,0.47,0.97,8.37,8.37,9.34,0.0,8.85,,8.85,0.49,0.43,58.41,0.02,0.48,0.32,230.6,,,,,,,
WWAC,2022-01-01,0.05,0.05,90.44,,,0.31,0.36,,,0.0,234.72,235.08,0.68,,3.13,4.01,0.96,0.96,4.97,0.0,4.51,,4.51,0.46,0.15,,0.01,3.65,0.16,234.72,0.2,0.2,4.06,,,,
HWKZ,2022-01-01,1.17,1.17,13.7,,,0.36,1.53,,,0.0,232.06,233.59,,,0.82,0.82,9.25,9.25,10.07,0.0,8.54,,8.54,1.53,1.17,13.7,0.04,0.71,0.3,232.06,,,,,,,
IVCP,2022-01-01,0.46,0.46,47.26,,,0.51,0.98,,,0.0,229.79,230.77,0.05,,0.86,0.91,7.88,7.88,8.79,0.0,7.71,,7.71,1.08,0.46,47.26,0.02,0.06,0.28,229.79,,,,,,,
JWSM,2022-01-01,0.12,0.12,89.6,,,0.03,0.15,,,,1050.32,1050.47,,,3.8,3.8,38.83,38.83,42.63,0.0,42.49,,42.49,0.15,0.12,89.6,0.0,3.66,0.33,1050.32,,,,,,,
EGGF,2022-01-01,0.09,0.09,72.48,,,0.19,0.28,,,0.0,228.25,228.53,2.6,,0.6,4.35,10.16,10.16,14.51,0.0,13.23,,13.23,1.28,1.06,,0.04,4.07,0.47,228.25,1.15,1.15,,,,,
HAIA,2022-01-01,0.4,0.4,83.95,,,0.22,0.62,,,0.0,223.05,223.67,0.13,,0.03,0.16,9.18,9.18,9.33,0.0,8.71,,8.71,0.62,0.4,82.19,0.02,0.47,0.34,223.05,0.0,0.0,,,,,
