symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
FIAC,2022-01-01,293.0,18.61,291.0,25.38,,29.4,302.65,302.65,,23.92,23.92,301.17,0.98,,101.1,4.9,5.2,3.94,0.33,16.99,16.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DPCS,2022-01-01,295.0,1.48,299.0,121.15,,24.93,597.12,597.12,,122.65,122.65,604.51,3.45,,21.3,1.0,1.0,0.83,0.17,204.85,204.85,0.39,1.89,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPAC,2022-01-01,294.0,17.7,294.0,19.23,,33.64,237.08,237.08,,18.92,18.92,236.62,0.51,,136.8,6.5,6.6,5.2,0.42,298.45,298.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRD,2022-01-01,293.0,44.18,292.0,242.69,,36.62,445.51,445.51,,159.94,159.94,443.88,0.98,,17.2,0.5,0.8,0.41,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCAA,2022-01-01,362.0,3.8,362.0,33.37,,25.05,616.56,616.56,,33.37,33.37,616.55,0.02,,77.0,3.8,3.8,3.0,0.16,19.67,19.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCW,2022-01-01,290.0,1.1,291.0,29.36,,24.9,539.22,539.22,,29.39,29.39,539.78,1.28,,78.6,4.2,4.2,3.41,0.19,154.98,154.98,0.09,0.11,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WRAC,2022-01-01,288.0,1.62,289.0,282.66,,35.05,220.19,220.19,,178.03,178.03,220.33,0.41,,12.6,0.5,0.9,0.35,0.45,0.09,0.09,0.08,0.42,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AEAE,2022-01-01,292.0,3.25,292.0,21.18,,34.23,188.71,188.71,,20.25,20.25,188.69,0.88,,129.3,5.8,6.1,4.72,0.53,189.66,189.66,0.02,0.01,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PGSS,2022-01-01,289.0,4.33,289.0,24.42,,32.66,281.32,281.32,,24.39,24.39,280.9,0.51,,89.4,5.2,5.2,4.09,0.36,165.21,165.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WWAC,2022-01-01,293.0,4.72,293.0,30.05,,65.07,656.6,656.6,,30.06,30.06,656.94,0.09,,115.6,4.2,4.2,3.33,0.15,179.79,179.79,0.04,0.02,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HWKZ,2022-01-01,287.0,3.1,286.0,258.85,,33.64,252.55,252.55,,165.68,165.68,251.52,1.87,,13.4,0.5,0.7,0.39,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IVCP,2022-01-01,285.0,14.54,284.0,268.83,,36.94,688.32,688.32,,268.39,268.39,687.2,1.07,,14.7,0.5,0.5,0.37,0.15,382.08,382.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JWSM,2022-01-01,1307.0,3.64,1307.0,27.99,,30.77,1299.21,1299.21,,27.99,27.99,1299.09,0.04,,96.2,4.5,4.5,3.57,0.08,8.34,8.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
