symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
PT,2017-01-01,,,7.0,,,,,,0.06,0.78,0.74,0.3,1.1,0.51,237.7,5.6,5.9,,,9.62,9.62,31.08,31.04,11.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHS,2021-01-01,14.0,79.39,14.0,26.49,2.89,1.76,1.15,1.55,2.81,8.63,29.39,1.12,0.91,0.25,15.0,2.7,7.3,3.77,87.11,45.24,45.24,0.14,0.69,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHS,2020-01-01,69.0,446.48,65.0,6.66,31.52,11.78,11.07,17.53,29.91,6.74,6.35,10.51,0.65,0.11,281.9,53.8,135.9,15.02,9.03,40.71,40.71,0.23,0.14,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHS,2019-01-01,13.0,88.86,18.0,1.45,0.81,4.5,1.82,1.96,1.17,2.82,2.25,2.64,0.59,0.98,118.0,54.3,105.1,68.71,55.0,8.27,8.27,2.51,1.08,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AIHS,2018-01-01,113.0,26.02,110.0,24.91,44.43,13.53,18.11,18.12,43.22,24.6,24.53,17.62,3.04,0.2,43.7,34.8,411.7,4.01,5.52,17.82,17.82,0.1,0.19,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2022-01-01,12.0,82.32,44.0,3.37,4.23,0.28,11.0,11.0,15.83,14.35,12.6,41.14,1.8,0.03,8.0,4.0,5.2,29.67,9.09,0.11,0.11,0.59,7.91,22.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2021-01-01,66.0,20.22,5.0,4.15,3.54,1.34,41.55,41.55,0.26,0.31,0.3,3.03,1.99,0.18,26.8,15.7,18.7,24.11,2.41,0.06,0.06,0.51,1.62,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2020-01-01,83.0,17.73,8.0,34.27,19.36,1.22,869.41,869.41,1.9,2.84,3.37,85.53,2.53,0.04,3.6,2.3,2.6,2.92,0.12,0.05,0.05,0.38,9.1,274.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2019-01-01,71.0,36.88,7.0,10.55,6.72,1.16,32.98,32.82,0.71,1.05,1.12,3.49,2.59,0.11,11.8,7.2,8.1,9.48,3.03,0.09,0.09,0.41,3.47,11.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2018-01-01,112.0,51.62,57.0,118.62,16.01,2.11,80.9,27.7,8.1,15.43,15.94,40.92,2.15,0.06,1.4,0.9,3.6,0.84,1.24,323.48,323.48,0.55,7.9,20.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2017-01-01,74.0,32.06,15.0,21.19,5.93,0.82,6.89,8.72,1.19,2.51,2.54,1.38,3.1,0.1,3.9,2.8,5.2,4.72,14.52,3.72,3.72,0.38,5.8,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2016-01-01,56.0,26.4,27.0,11.5,5.01,0.67,2.21,2.21,2.41,3.77,3.81,1.06,3.6,0.09,5.1,3.9,8.2,8.7,45.34,,,0.35,4.07,1.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2015-01-01,76.0,19.46,45.0,16.73,7.13,0.67,6.77,6.77,4.19,6.05,6.13,3.98,4.5,0.05,2.9,2.3,11.1,5.98,14.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2014-01-01,94.0,57.82,76.0,3.42,,0.44,4.51,4.52,,2.82,2.76,3.63,5.46,0.0,12.1,10.4,33.3,29.2,22.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DXF,2013-01-01,224.0,11.27,69.0,13.97,1.03,0.91,7.36,7.36,0.32,2.98,3.09,2.28,9.5,0.8,6.7,5.9,27.8,7.16,13.59,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2022-01-01,143693.0,18.42,261782.0,13.63,2.68,1.44,15.17,22.46,4.88,14.59,18.78,27.63,,0.05,10.5,0.9,1.1,7.34,6.59,5.57,9.08,2.46,13.73,25.99,3.52,47.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2021-01-01,176139.0,42.07,291582.0,12.09,2.95,1.67,5.56,5.18,4.88,12.25,14.89,9.21,,0.05,13.8,1.2,1.5,8.27,17.98,11.7,9.54,2.31,10.22,7.68,2.16,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2020-01-01,123984.0,49.84,251272.0,11.81,2.54,1.22,4.65,4.91,5.15,13.96,17.65,9.42,,0.04,10.3,0.9,1.2,8.47,21.51,0.98,2.81,2.29,12.94,8.73,1.83,21.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2019-01-01,82743.0,21.32,207897.0,9.72,1.99,1.01,2.12,2.03,5.0,15.12,18.72,5.34,,0.05,10.4,1.0,1.1,10.29,47.07,5.64,8.22,2.54,15.08,5.32,2.58,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2018-01-01,68204.0,28.1,180136.0,8.3,1.7,0.85,12.54,9.34,4.49,13.92,16.23,33.11,,0.05,10.3,1.0,1.2,12.05,7.98,4.56,7.36,2.48,15.39,36.6,2.8,22.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2017-01-01,94860.0,19.88,218318.0,16.98,2.5,1.23,15.46,21.06,5.75,18.14,21.24,35.59,,0.05,7.1,0.7,1.0,5.89,6.47,3.5,5.23,2.63,16.94,33.23,1.73,28.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2016-01-01,79127.0,28.47,178601.0,14.37,2.29,1.04,19.27,14.7,5.16,17.11,20.52,43.49,,0.04,7.2,0.7,0.9,6.96,5.19,3.38,5.05,2.33,16.94,43.06,1.67,23.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2015-01-01,61591.0,18.9,172913.0,10.86,1.75,0.82,10.55,13.8,4.92,17.72,20.77,29.63,,0.04,7.6,0.7,0.9,9.21,9.48,0.91,2.66,2.2,16.95,28.34,1.74,18.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2014-01-01,75947.0,24.11,155474.0,24.1,2.22,1.07,807.95,69.93,4.54,34.26,46.04,1653.98,,0.04,4.5,0.4,0.4,4.15,0.12,0.74,0.17,2.36,36.83,1777.85,0.91,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,2013-01-01,61194.0,62.11,132040.0,23.05,1.88,0.93,1.82,1.75,4.06,24.7,34.44,3.92,,0.04,4.1,0.3,0.4,4.34,55.06,1.97,1.33,2.58,31.79,5.04,0.64,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2022-01-01,116280.0,9.21,528900.0,10.8,2.46,0.99,15.17,13.35,11.17,33.18,39.22,68.99,,0.03,9.2,0.7,0.7,9.26,6.59,0.65,2.13,5.58,41.05,85.37,2.77,29.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2021-01-01,128075.0,41.15,580442.0,6.06,2.16,1.17,23.02,20.34,9.78,19.97,21.46,104.32,,0.04,20.3,1.5,1.4,16.51,4.34,1.25,3.05,6.49,24.55,128.22,1.81,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2020-01-01,90734.0,11.45,528917.0,10.18,2.04,0.95,4.15,4.9,11.87,36.78,42.38,24.18,,0.04,9.6,0.8,0.8,9.83,24.11,4.05,6.03,6.19,41.31,27.16,1.99,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2019-01-01,81415.0,31.02,464085.0,10.31,2.23,0.9,3.69,3.41,12.7,37.77,43.85,21.04,,0.04,8.7,0.8,0.8,9.7,27.09,3.77,5.68,5.72,42.01,23.4,1.91,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2018-01-01,62138.0,35.34,417103.0,6.3,1.7,0.69,5.05,3.75,11.39,30.21,33.42,33.93,,0.04,11.4,1.0,0.9,15.87,19.78,4.62,6.6,5.38,35.16,39.49,1.98,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2017-01-01,96096.0,0.92,486883.0,26.08,2.94,1.17,4.16,4.69,14.88,39.64,43.74,21.08,,0.04,4.3,0.4,0.9,3.83,24.04,5.98,7.21,6.09,40.77,21.68,1.23,31.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2016-01-01,95217.0,23.86,419863.0,13.44,3.09,1.1,23.74,14.66,13.64,37.15,40.75,104.7,,0.04,8.2,0.8,0.9,7.44,4.21,5.12,6.31,5.14,39.49,111.31,1.19,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2015-01-01,76875.0,8.94,431329.0,13.81,2.27,0.89,9.76,8.11,12.75,44.15,49.14,54.76,,0.04,6.4,0.6,0.7,7.24,10.25,3.09,4.61,5.16,45.85,56.87,1.52,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2014-01-01,84422.0,5.08,435624.0,10.45,2.44,1.02,9.84,10.64,12.62,31.81,35.25,50.77,,0.04,9.9,0.9,1.0,9.57,10.16,5.28,6.55,5.56,33.63,53.67,1.26,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS,2013-01-01,80340.0,34.02,510960.0,10.4,2.35,1.02,20.61,17.68,14.94,39.13,43.53,131.05,,0.04,9.9,0.8,0.9,9.62,4.85,3.2,4.47,6.9,41.46,138.86,1.27,12.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2022-01-01,155425.0,2.25,110125.0,23.43,7.49,4.25,143.12,75.56,5.3,10.35,11.73,101.4,,0.03,16.0,1.1,1.8,4.27,0.7,0.16,1.45,1.03,3.56,34.88,1.29,30.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2021-01-01,158999.0,59.75,65844.0,29.66,8.59,2.83,132.28,75.07,3.56,7.42,8.54,54.78,,0.03,9.5,0.9,1.5,3.37,0.76,32.2,31.34,0.42,2.68,19.77,0.86,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2020-01-01,99530.0,63.2,22415.0,32.71,8.51,1.78,16.0,14.53,1.92,4.57,5.21,3.6,,0.03,8.4,0.7,1.2,3.06,6.25,8.71,7.67,0.24,2.78,2.19,1.04,33.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2019-01-01,60986.0,8.74,18588.0,17.3,5.69,2.81,7.08,6.54,1.73,3.58,3.83,2.16,,0.04,16.4,1.2,2.0,5.78,14.13,3.01,4.48,0.34,1.43,0.86,1.47,25.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2018-01-01,56084.0,18.56,21461.0,16.85,5.54,2.71,4.72,4.5,2.12,4.41,4.7,1.81,,0.04,16.5,1.2,1.9,5.94,21.19,0.59,0.53,0.33,1.41,0.58,1.12,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2017-01-01,68865.0,31.61,59262.0,31.59,7.99,3.72,55.58,82.08,6.88,15.12,16.24,47.83,,0.04,12.3,0.9,1.7,3.17,1.8,1.42,0.8,1.07,5.04,15.94,0.63,19.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2016-01-01,52324.0,20.69,22198.0,29.97,7.0,3.19,16.07,14.52,2.97,6.88,7.42,6.82,,0.04,11.4,0.8,1.7,3.34,6.22,0.53,0.16,0.18,0.89,0.88,0.69,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2015-01-01,43353.0,9.97,14654.0,31.78,6.8,3.24,44.24,34.79,2.3,5.85,6.43,14.95,,0.04,10.7,0.8,1.6,3.15,2.26,0.91,0.18,0.21,1.15,2.94,0.73,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2014-01-01,39421.0,17.61,9176.0,31.26,6.51,3.34,20.24,16.79,1.51,3.97,4.34,4.71,,0.04,11.1,0.9,1.8,3.2,4.94,1.7,0.9,0.16,0.82,0.97,0.8,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHW,2013-01-01,33520.0,83.06,4142.0,33.19,6.17,3.23,23.82,20.24,0.76,2.17,2.43,2.94,,0.04,10.1,0.7,1.6,3.01,4.2,1.41,0.49,0.18,1.0,1.35,0.93,30.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2022-01-01,7443.0,4.54,13111.0,19.59,2.43,2.61,1.91,1.88,4.27,21.15,24.46,3.36,,0.03,14.5,0.3,0.4,5.11,52.39,6.62,6.08,3.2,14.68,2.33,0.54,10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2021-01-01,7797.0,41.01,17380.0,25.32,2.87,3.26,1.34,1.32,6.4,32.61,37.86,2.99,,0.03,13.8,0.3,0.4,3.95,74.63,17.82,17.33,5.0,22.47,2.06,0.49,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2020-01-01,5530.0,54.54,11347.0,28.36,2.49,2.83,0.69,0.69,5.12,33.97,41.72,1.42,,0.03,11.8,0.2,0.3,3.53,145.0,4.96,4.38,5.18,30.27,1.26,0.58,16.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2019-01-01,3578.0,12.82,7488.0,22.22,1.85,2.46,1.38,1.34,3.87,26.65,32.7,2.89,,0.03,11.6,0.2,0.3,4.5,72.44,3.45,2.59,4.68,24.17,2.62,0.86,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2018-01-01,4104.0,3.02,6242.0,24.28,2.16,3.2,1.77,1.74,3.28,23.47,26.01,2.69,,0.03,14.0,0.3,0.4,4.12,56.53,4.74,4.02,3.69,17.8,2.04,0.72,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2017-01-01,4232.0,70.5,9042.0,55.68,2.49,3.88,4.08,3.97,5.31,25.33,27.23,8.72,,0.03,7.2,0.1,0.5,1.8,24.5,5.36,4.69,6.0,18.32,6.31,0.67,36.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2016-01-01,2482.0,10.6,7069.0,29.55,1.78,2.55,4.08,3.91,5.06,41.34,48.42,11.63,,0.03,8.9,0.2,0.3,3.38,24.5,7.66,6.58,6.69,38.08,10.71,1.08,31.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2015-01-01,2776.0,62.85,6686.0,56.66,2.34,3.22,3.99,3.83,5.62,58.65,72.68,9.62,,0.03,6.1,0.1,0.2,1.76,25.03,8.32,7.42,6.39,48.34,7.93,0.9,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2014-01-01,1705.0,40.16,6238.0,37.88,1.64,2.23,4.28,4.09,5.98,55.69,67.8,15.67,,0.03,6.0,0.1,0.2,2.64,23.35,13.32,11.97,7.57,51.8,14.58,1.35,50.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IBKR,2013-01-01,1216.0,87.23,5745.0,32.87,1.13,1.72,9.89,8.69,5.34,64.55,82.07,46.71,,0.03,5.8,0.1,0.2,3.04,10.11,8.19,6.51,8.12,64.52,46.68,1.67,54.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2022-01-01,21328.0,12.31,10464.0,14.17,1.94,2.26,1122.52,296.22,0.95,4.83,5.17,550.73,,0.14,16.6,2.0,2.9,7.06,0.09,1.94,0.57,0.4,1.75,199.74,1.37,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2021-01-01,18990.0,90.29,3613.0,13.54,1.95,2.3,2.89,2.86,0.37,1.88,2.02,0.55,,0.17,18.1,2.5,3.5,7.39,34.61,0.43,0.73,0.38,1.65,0.48,1.16,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2020-01-01,9980.0,12.83,7773.0,12.2,1.25,1.4,2.53,2.45,0.97,6.64,7.39,1.97,,0.18,11.8,1.8,2.7,8.2,39.57,2.64,4.72,0.45,2.72,0.81,2.08,24.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2019-01-01,11449.0,14.74,8691.0,11.07,1.48,1.74,26.08,19.84,1.12,5.84,6.32,19.8,,0.2,16.2,2.7,4.0,9.03,3.83,3.23,4.94,0.49,2.16,7.32,1.71,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2018-01-01,13429.0,10.44,10358.0,15.67,1.85,2.11,17.91,15.19,1.42,7.35,7.9,13.81,,0.2,14.2,2.3,3.8,6.38,5.58,1.5,0.28,0.45,2.04,3.83,1.22,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2017-01-01,12159.0,47.43,8519.0,19.12,1.91,2.18,38.6,97.27,1.34,8.44,9.21,27.04,,0.19,12.0,1.9,2.9,5.23,2.59,1.44,0.38,0.63,3.47,11.13,1.06,19.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2016-01-01,8247.0,15.41,9400.0,15.58,1.53,1.68,11.87,14.39,1.74,10.77,11.74,13.52,,0.19,11.2,1.8,2.8,6.42,8.43,0.98,2.38,0.57,3.21,4.03,1.4,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2015-01-01,7146.0,5.59,6744.0,14.23,1.37,1.58,8.67,7.95,1.3,7.78,8.45,8.18,,0.21,11.4,2.0,3.3,7.03,11.54,1.64,0.17,0.49,2.54,2.67,1.47,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2014-01-01,7569.0,29.89,7504.0,15.76,1.56,1.83,16.92,14.91,1.54,9.24,10.03,16.77,,0.21,12.1,2.1,3.4,6.34,5.91,2.17,0.95,0.52,2.63,4.77,1.22,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,2013-01-01,5827.0,15.2,4873.0,15.87,1.3,1.59,9.93,8.83,1.09,7.73,8.64,8.3,,0.2,10.4,1.6,2.6,6.3,10.07,6.64,5.29,0.45,2.6,2.8,1.35,21.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW,2022-01-01,15217.0,34.67,13987.0,49.19,12.8,3.07,26.57,24.05,11.77,25.25,37.3,24.42,,0.2,6.4,5.1,35.7,2.03,3.76,0.55,0.11,0.01,0.05,0.05,0.44,21.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW,2021-01-01,23292.0,63.82,22343.0,102.69,21.64,5.01,44.22,40.3,20.76,44.99,68.69,42.42,,0.18,5.0,3.8,32.8,0.97,2.26,10.11,9.83,0.01,0.05,0.05,0.28,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TW,2020-01-01,14218.0,37.91,13460.0,85.5,15.93,3.3,35.48,32.08,15.08,35.75,60.45,33.59,,0.16,4.2,3.0,27.8,1.17,2.82,20.24,19.82,0.01,0.09,0.09,0.42,34.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2022-01-01,17207.0,34.11,16787.0,20.35,2.0,7.94,10.5,8.84,1.95,11.01,13.56,10.24,,0.99,43.7,9.8,18.2,4.91,9.52,0.56,1.03,1.25,1.78,1.66,0.47,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2021-01-01,12831.0,55.27,13572.0,27.9,1.66,7.68,54.1,28.32,1.76,14.49,19.23,57.23,,1.05,29.3,6.3,11.3,3.58,1.85,1.29,0.65,1.68,3.01,11.87,0.64,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2020-01-01,8263.0,10.82,8810.0,17.48,1.41,6.29,13.03,10.46,1.5,9.69,12.04,13.89,,0.95,40.7,7.7,14.1,5.72,7.68,4.63,5.61,1.78,2.58,3.7,0.98,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2019-01-01,7457.0,40.79,8634.0,13.32,1.33,7.28,15.95,11.95,1.54,8.36,9.9,18.47,,1.0,54.9,10.0,17.8,7.51,6.27,6.62,7.75,2.59,2.56,5.67,1.13,14.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2018-01-01,5296.0,2.77,6211.0,12.05,1.02,5.44,11.8,9.11,1.2,7.18,8.65,13.84,,0.97,44.3,8.2,16.5,8.3,8.48,1.62,3.34,2.54,2.86,5.52,1.71,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2017-01-01,5153.0,64.17,6022.0,21.58,1.2,5.34,15.09,11.37,1.41,10.14,12.77,17.64,,0.86,26.0,4.8,11.6,4.63,6.62,2.34,0.55,2.58,4.2,7.3,1.79,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2016-01-01,3139.0,22.52,3862.0,16.36,0.78,3.82,12.01,8.07,0.95,7.6,9.8,14.78,,0.87,24.9,4.1,10.8,6.11,8.32,7.0,9.87,2.78,4.49,8.73,2.87,46.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2015-01-01,4052.0,7.96,4816.0,24.0,0.95,5.66,19.58,14.5,1.13,10.62,14.1,23.28,,1.03,18.8,4.1,11.0,4.17,5.11,4.79,7.17,3.06,4.83,10.58,2.39,56.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2014-01-01,4402.0,8.02,5045.0,24.72,1.01,4.53,29.4,18.95,1.15,11.39,14.57,33.7,,1.11,17.1,4.5,12.4,4.04,3.4,4.11,6.32,1.67,3.67,10.86,2.22,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LPLA,2013-01-01,4786.0,56.58,5292.0,26.32,1.16,4.35,58.45,29.89,1.28,12.42,15.44,64.64,,1.06,15.9,4.6,13.3,3.8,1.71,4.55,5.99,1.4,3.6,18.75,1.44,37.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2022-01-01,10497.0,32.88,10098.0,41.95,14.61,9.71,44.22,36.29,14.06,24.86,29.79,42.54,,0.45,24.3,15.5,32.8,2.38,2.26,1.19,2.2,0.08,0.2,0.35,1.0,41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2021-01-01,15639.0,27.8,15171.0,60.64,22.38,15.02,67.56,55.44,21.7,38.41,45.32,65.54,,0.45,25.1,16.6,37.3,1.65,1.48,0.12,0.77,0.08,0.22,0.38,0.64,38.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2020-01-01,21660.0,51.24,21243.0,72.35,31.43,22.68,60.36,53.55,30.83,50.78,56.57,59.2,,0.6,34.2,26.1,60.9,1.38,1.66,0.5,0.07,0.1,0.22,0.26,0.42,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2019-01-01,14322.0,80.29,14150.0,69.9,28.01,18.6,61.94,53.85,27.67,48.78,54.97,61.19,,0.6,29.7,24.1,46.1,1.43,1.61,0.27,0.27,0.13,0.34,0.42,0.54,36.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2018-01-01,7944.0,4.89,7697.0,45.96,18.24,13.07,45.05,35.48,17.67,31.92,35.3,43.65,,0.68,30.3,27.1,57.6,2.18,2.22,0.48,1.28,,,,0.8,35.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2017-01-01,7573.0,37.16,7406.0,51.14,19.25,14.71,53.15,45.07,18.82,33.51,36.71,51.98,,0.71,29.5,26.7,57.8,1.96,1.88,0.79,0.13,,,,0.66,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2016-01-01,5521.0,32.68,5353.0,43.76,15.01,11.8,77.5,61.52,14.56,25.56,27.94,75.14,,0.75,28.6,25.8,70.7,2.29,1.29,0.27,0.44,,,,0.71,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2015-01-01,4161.0,55.25,3962.0,43.33,13.73,10.65,38.14,33.42,13.07,23.8,26.79,36.3,,0.74,26.2,23.5,86.7,2.31,2.62,0.67,1.39,,,,0.72,30.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2014-01-01,2680.0,6.44,2511.0,35.83,10.2,8.02,28.17,24.38,9.56,18.48,21.19,26.39,,0.73,23.0,20.7,80.4,2.79,3.55,0.0,0.9,,,,0.9,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MKTX,2013-01-01,2518.0,91.29,2386.0,33.13,10.55,8.11,37.25,27.71,9.99,18.67,20.79,35.29,,0.75,27.1,23.9,95.6,3.02,2.68,0.19,0.59,,,,0.78,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,2021-01-01,12927.0,20.63,174061.0,11.02,1.16,0.54,1.14,1.15,15.56,75.08,95.11,15.32,,0.03,5.1,0.3,0.4,9.07,87.9,0.81,0.81,7.99,82.37,16.81,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,2020-01-01,16287.0,15.21,193558.0,11.58,1.26,0.66,2.98,2.66,15.04,73.38,94.36,35.39,,0.03,5.7,0.4,0.3,8.63,33.58,8.22,8.22,8.57,80.41,38.78,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,2019-01-01,14137.0,16.06,234614.0,7.03,1.18,0.57,113.07,95.68,19.66,81.8,102.95,1876.43,,0.03,8.2,0.5,0.4,14.23,0.88,2.42,3.5,10.28,88.18,2022.88,1.08,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,2018-01-01,12181.0,40.99,216413.0,13.34,1.2,0.51,3.21,3.71,21.32,1642.66,548.11,57.04,,0.03,3.7,0.2,0.1,7.5,31.15,3.84,4.56,9.67,1755.58,60.96,0.72,9.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,2017-01-01,20641.0,8.77,214455.0,10.76,1.58,0.86,4.66,5.29,16.37,62.09,75.84,48.38,,0.04,7.9,0.5,0.5,9.3,21.47,2.22,5.29,9.03,62.88,49.0,3.08,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,2016-01-01,22625.0,41.59,239727.0,10.46,1.79,0.9,2.04,1.92,18.93,67.97,83.05,21.57,,0.03,8.7,0.6,0.5,9.56,49.12,0.26,2.41,9.61,68.58,21.77,2.68,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NMR,2015-01-01,15979.0,26.78,209442.0,13.64,1.29,0.67,1.5,1.45,16.85,100.71,152.58,19.66,,0.03,4.9,0.3,0.2,7.33,66.66,3.19,5.33,9.41,108.75,21.23,2.14,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
